IPMA config-param table @0xE2448: 279 valid parameters

cid   len  group  default-template
0x000   7   0x20   |ADCGmbH|
0x001   2   0x22   01 06
0x002   9   0x28   |...?.>...|
0x003   1   0x29   01
0x004   3   0x29   |ccc|
0x005   3   0x29   |ccc|
0x006   1   0x29   00
0x007   4   0x29   |..wf|
0x008   1   0x28   00
0x009   2   0x20   00 00
0x00A   2   0x20   00 00
0x00B   2   0x20   00 00
0x00C   2   0x20   00 00
0x00D   2   0x20   00 00
0x00E   2   0x20   00 00
0x00F   2   0x20   00 00
0x010   2   0x20   00 00
0x011   2   0x20   00 00
0x012   2   0x20   00 00
0x013   2   0x20   00 00
0x014   2   0x20   00 00
0x015   2   0x20   00 00
0x016   2   0x20   00 00
0x017   2   0x20   00 00
0x018   2   0x20   00 00
0x019   2   0x20   00 00
0x01A   2   0x20   00 00
0x01B   2   0x20   00 00
0x01C   2   0x20   00 00
0x01D   2   0x20   00 00
0x01E   2   0x20   00 00
0x01F   2   0x20   00 00
0x020   2   0x20   00 00
0x021   2   0x20   00 00
0x022  12   0x20   00 00 00 00 00 00 00 00
0x023  12   0x20   00 00 00 00 00 00 00 00
0x024  12   0x20   00 00 00 00 00 00 00 00
0x025   4   0x20   00 00 00 00
0x026   4   0x29   00 00 00 00
0x027   4   0x21   ff ff ff ff
0x028  13   0x23   |<............|
0x029   1   0x21   ff
0x02A  13   0x2B   |....;T..?..%.|
0x02B   7   0x21   7f ff 80 00 00 00 00
0x02C   2   0x29   80 00
0x02D   5   0x29   00 00 ff ff 00
0x02E   4   0x29   |nnn.|
0x02F   3   0x29   |'..|
0x030   3   0x29   |'..|
0x031   3   0x29   00 00 00
0x032   1   0x29   00
0x033   1   0x29   00
0x034   8   0x29   7f ff 80 00 00 00 00 00
0x035   8   0x29   00 00 00 00 00 00 00 00
0x036   6   0x29   00 01 00 01 00 00
0x037   3   0x29   00 00 00
0x038   1   0x29   00
0x039  16   0x2B   00 00 00 00 02 f0 00 00
0x03A   4   0x29   |.6.`|
0x03B   4   0x29   ff ff ff ff
0x03C   4   0x29   00 00 00 00
0x03D   4   0x21   03 84 00 00
0x03E  16   0x2B   00 00 00 00 00 00 00 00
0x040   4   0x29   00 00 00 00
0x041   4   0x29   00 00 00 00
0x042   4   0x29   00 00 00 00
0x043   4   0x29   00 00 00 00
0x044   4   0x29   00 00 00 00
0x045   4   0x29   00 00 00 00
0x046   4   0x29   00 00 00 00
0x047   4   0x29   00 00 00 00
0x048   4   0x29   00 00 00 00
0x049   4   0x29   00 00 00 00
0x04A   4   0x29   00 00 00 00
0x04B   4   0x29   00 00 00 00
0x04C  40   0x29   00 00 00 00 00 00 00 00
0x04D   4   0x29   00 00 00 00
0x04E  16   0x29   00 00 00 00 00 00 00 00
0x04F  35   0x29   00 00 00 00 00 00 08 00
0x050   4   0x29   00 ff 00 00
0x051   4   0x29   00 ff 00 00
0x052   2   0x29   03 84
0x053  59   0x2A   ff ff ff ff ff ff ff ff
0x054   1   0x21   00
0x055   2   0x29   ff ff
0x056   7   0x29   00 00 00 00 00 00 00
0x057   7   0x29   00 00 00 00 00 00 00
0x058   7   0x29   00 00 00 00 00 00 00
0x059   7   0x29   00 00 00 00 00 00 00
0x05A   7   0x29   00 00 00 00 00 00 00
0x05B   7   0x29   00 00 00 00 00 00 00
0x05C   7   0x29   00 00 00 00 00 00 00
0x05D   7   0x29   00 00 00 00 00 00 00
0x05E   7   0x29   00 00 00 00 00 00 00
0x05F   7   0x29   00 00 00 00 00 00 00
0x060   7   0x29   00 00 00 00 00 00 00
0x061   7   0x29   00 00 00 00 00 00 00
0x062   7   0x29   00 00 00 00 00 00 00
0x063   7   0x29   00 00 00 00 00 00 00
0x064   7   0x29   00 00 00 00 00 00 00
0x065   7   0x29   00 00 00 00 00 00 00
0x066   7   0x29   00 00 00 00 00 00 00
0x067   7   0x29   00 00 00 00 00 00 00
0x068   7   0x29   00 00 00 00 00 00 00
0x069   7   0x29   00 00 00 00 00 00 00
0x06A   7   0x29   00 00 00 00 00 00 00
0x06B   7   0x29   00 00 00 00 00 00 00
0x06C   7   0x29   00 00 00 00 00 00 00
0x06D   7   0x29   00 00 00 00 00 00 00
0x06E   7   0x29   00 00 00 00 00 00 00
0x06F   7   0x29   00 00 00 00 00 00 00
0x070   7   0x29   00 00 00 00 00 00 00
0x071   7   0x29   00 00 00 00 00 00 00
0x072   7   0x29   00 00 00 00 00 00 00
0x073   7   0x29   00 00 00 00 00 00 00
0x074   7   0x29   00 00 00 00 00 00 00
0x075   7   0x29   00 00 00 00 00 00 00
0x076   7   0x29   00 00 00 00 00 00 00
0x077   7   0x29   00 00 00 00 00 00 00
0x078   7   0x29   00 00 00 00 00 00 00
0x079   7   0x29   00 00 00 00 00 00 00
0x07A   7   0x29   00 00 00 00 00 00 00
0x07B   7   0x29   00 00 00 00 00 00 00
0x07C   7   0x29   00 00 00 00 00 00 00
0x07D   7   0x29   00 00 00 00 00 00 00
0x07E   7   0x29   00 00 00 00 00 00 00
0x07F   7   0x29   00 00 00 00 00 00 00
0x080   7   0x29   00 00 00 00 00 00 00
0x081   7   0x29   00 00 00 00 00 00 00
0x082   7   0x29   00 00 00 00 00 00 00
0x083   7   0x29   00 00 00 00 00 00 00
0x084   7   0x29   00 00 00 00 00 00 00
0x085   7   0x29   00 00 00 00 00 00 00
0x086   7   0x29   00 00 00 00 00 00 00
0x087   7   0x29   00 00 00 00 00 00 00
0x088   7   0x29   00 00 00 00 00 00 00
0x089   7   0x29   00 00 00 00 00 00 00
0x08A   7   0x29   00 00 00 00 00 00 00
0x08B   7   0x29   00 00 00 00 00 00 00
0x08C   7   0x29   00 00 00 00 00 00 00
0x08D   7   0x29   00 00 00 00 00 00 00
0x08E   7   0x29   00 00 00 00 00 00 00
0x08F   7   0x29   00 00 00 00 00 00 00
0x090   7   0x29   00 00 00 00 00 00 00
0x091   7   0x29   00 00 00 00 00 00 00
0x092   7   0x29   00 00 00 00 00 00 00
0x093   7   0x29   00 00 00 00 00 00 00
0x094   7   0x29   00 00 00 00 00 00 00
0x095   7   0x29   00 00 00 00 00 00 00
0x096   7   0x29   00 00 00 00 00 00 00
0x097   7   0x29   00 00 00 00 00 00 00
0x098   7   0x29   00 00 00 00 00 00 00
0x099   7   0x29   00 00 00 00 00 00 00
0x09A   7   0x29   00 00 00 00 00 00 00
0x09B   7   0x29   00 00 00 00 00 00 00
0x09C   7   0x29   00 00 00 00 00 00 00
0x09D   7   0x29   00 00 00 00 00 00 00
0x09E   7   0x29   00 00 00 00 00 00 00
0x09F   7   0x29   00 00 00 00 00 00 00
0x0A0   7   0x29   00 00 00 00 00 00 00
0x0A1   7   0x29   00 00 00 00 00 00 00
0x0A2   7   0x29   00 00 00 00 00 00 00
0x0A3   7   0x29   00 00 00 00 00 00 00
0x0A4   7   0x29   00 00 00 00 00 00 00
0x0A5   7   0x29   00 00 00 00 00 00 00
0x0A6   7   0x29   00 00 00 00 00 00 00
0x0A7   7   0x29   00 00 00 00 00 00 00
0x0A8   7   0x29   00 00 00 00 00 00 00
0x0A9   7   0x29   00 00 00 00 00 00 00
0x0AA   7   0x29   00 00 00 00 00 00 00
0x0AB   7   0x29   00 00 00 00 00 00 00
0x0AC   7   0x29   00 00 00 00 00 00 00
0x0AD   7   0x29   00 00 00 00 00 00 00
0x0AE   7   0x29   00 00 00 00 00 00 00
0x0AF   7   0x29   00 00 00 00 00 00 00
0x0B1   4   0x29   00 00 00 00
0x0B3   4   0x29   00 00 00 00
0x0B4  30   0x29   00 00 00 00 00 00 00 00
0x0B5  30   0x29   00 00 00 00 00 00 00 00
0x0B6   4   0x29   ff ff ff ff
0x0BA   8   0x28   00 00 00 00 00 00 00 00
0x0BB   1   0x29   00
0x0BC   8   0x2A   00 00 00 00 00 00 01 00
0x0BD  17   0x2B   00 00 00 00 00 00 00 00
0x0BE  12   0x29   00 00 00 00 00 00 00 00
0x0BF  28   0x29   00 00 00 00 00 00 00 00
0x0C0  28   0x29   00 00 00 00 00 00 00 00
0x0C1  13   0x29   00 00 00 00 00 00 00 00
0x0C2  10   0x21   00 00 00 00 00 00 00 00
0x0C3   4   0x21   00 00 00 00
0x0C4   8   0x21   00 00 00 00 00 00 00 00
0x0C5  12   0x21   00 00 00 00 00 00 00 00
0x0C6  12   0x21   00 00 00 00 00 00 00 00
0x0C7  10   0x21   00 00 00 00 00 00 00 00
0x0C8  12   0x21   00 00 00 00 00 00 00 00
0x0C9   1   0x28   |_|
0x0CA   1   0x28   00
0x0CB  15   0x29   |BM5T-19H406-AA.|
0x0CC  15   0x29   |BM5T-14F403-AA.|
0x0CD   1   0x29   00
0x0CE   9   0x21   00 ff ff 00 00 ff 81 00
0x0CF   1   0x29   00
0x0D0  20   0x29   00 00 00 00 00 00 00 00
0x0D1  20   0x29   00 00 00 00 00 00 00 00
0x0D2  20   0x29   00 00 00 00 00 00 00 00
0x0D3  20   0x29   00 00 00 00 00 00 00 00
0x0D4  20   0x29   00 00 00 00 00 00 00 00
0x0D5  20   0x29   00 00 00 00 00 00 00 00
0x0D6  20   0x29   00 00 00 00 00 00 00 00
0x0D7  20   0x29   00 00 00 00 00 00 00 00
0x0D8  20   0x29   00 00 00 00 00 00 00 00
0x0D9  20   0x29   00 00 00 00 00 00 00 00
